STD_YM|GU_CD|DONG_CD|MCT_CAT_CD|DAY_CD|USE_CNT|USE_AMT
201601|65|102|21|05|2766|645510152
201601|65|102|21|06|2704|449678694
201601|65|102|21|07|849|41259721
201601|65|102|22|01|245|68903992
201601|65|102|22|02|1051|235795819
201601|65|102|22|03|994|249094191
201601|65|102|22|04|1008|232054674
201601|65|102|22|05|779|221131757
201601|65|102|22|06|849|272159874
201601|65|102|22|07|878|335208882
201601|65|102|23|01|84|12288218
201601|65|102|23|02|645|112569743
201601|65|102|23|03|565|100293762
201601|65|102|23|04|613|107960282
201601|65|102|23|05|742|136689126
201601|65|102|23|06|726|97133761
201601|65|102|23|07|378|70679342
201601|65|102|24|01|811|30215846
201601|65|102|24|02|4384|448156948
201601|65|102|24|03|3659|369631356
201601|65|102|24|04|4127|473077624
201601|65|102|24|05|4082|371012297
201601|65|102|24|06|4346|461918854
201601|65|102|24|07|2674|436467956
201601|65|102|26|01|35|190241
201601|65|102|26|02|5446|567428420
201601|65|102|26|03|4278|666811393
201601|65|102|26|04|3668|572148588
201601|65|102|26|05|4329|655033537
201601|65|102|26|06|4540|1074270072
201601|65|102|26|07|3232|449414002
201601|65|102|27|01|1381|12851506
201601|65|102|27|02|7688|137734994
201601|65|102|27|03|5923|96944890
201601|65|102|27|04|6015|91707800
201601|65|102|27|05|6033|98129903
201601|65|102|27|06|6585|108143158
201601|65|102|27|07|5031|119661294
201601|65|102|28|01|1775|91185410
201601|65|102|28|02|1330|48110465
201601|65|102|28|03|1318|57579745
201601|65|102|28|04|1193|81069885
201601|65|102|28|05|1426|57127936
201601|65|102|28|06|1708|70267891
201601|65|102|28|07|2623|140218118
201601|65|102|29|01|256|20427781
201601|65|102|29|02|425|83464039
201601|65|102|29|03|425|41275024
201601|65|102|29|04|444|32237977
201601|65|102|29|05|471|58022079
201601|65|102|29|06|504|79464802
201601|65|102|29|07|494|80337682
201601|65|102|30|01|73869|2100504640
201601|65|102|30|02|118373|3189846754
201601|65|102|30|03|122429|3778933118
201601|65|102|30|04|124717|3749132502
201601|65|102|30|05|127864|4053896161
201601|65|102|30|06|140254|4535006186
201601|65|102|30|07|90035|3180103814
201601|65|102|32|01|7386|61380635
201601|65|102|32|02|10986|109220841
201601|65|102|32|03|11085|108016067
201601|65|102|32|04|10954|119809905
201601|65|102|32|05|11421|113998146
201601|65|102|32|06|13148|145505127
201601|65|102|32|07|8730|82382734
201601|65|102|33|01|624|29528625
201601|65|102|33|02|1362|51813265
201601|65|102|33|03|1470|46871630
201601|65|102|33|04|1364|39061499
201601|65|102|33|05|1430|84408549
201601|65|102|33|06|1558|44056144
201601|65|102|33|07|780|55175777
201601|65|102|34|01|8|2790807
201601|65|102|34|02|74|47927080
201601|65|102|34|03|89|19461254
201601|65|102|34|04|83|17129346
201601|65|102|34|05|60|23861611
201601|65|102|34|06|50|10029543
201601|65|102|34|07|65|16173338
201601|65|102|35|01|9826|215995177
201601|65|102|35|02|3590|197968721
201601|65|102|35|03|3661|164559530
201601|65|102|35|04|4184|198238815
201601|65|102|35|05|4678|280165065
201601|65|102|35|06|5685|244350331
201601|65|102|35|07|7113|265431833
201601|65|102|36|01|162|66591393
201601|65|102|36|02|4338|2473710590
201601|65|102|36|03|5498|3405823514
201601|65|102|36|04|5855|3741770771
201601|65|102|36|05|5442|3814685665
201601|65|102|36|06|3952|2600739143
201601|65|102|36|07|758|183944139
201601|65|103|04|01|10|186069
201601|65|103|04|02|89|9416172
201601|65|103|04|03|62|6506077
201601|65|103|04|04|53|3654758
201601|65|103|04|05|85|7223913
201601|65|103|04|06|66|19732545
201601|65|103|04|07|77|19852575
201601|65|103|05|01|19|541644
201601|65|103|05|02|11|165494
201601|65|103|05|03|4|182668
201601|65|103|05|04|4|89106
201601|65|103|05|05|4|53464
201601|65|103|05|06|12|176527
201601|65|103|05|07|14|771658
201601|65|103|06|02|17|171010
201601|65|103|06|03|33|1293537
201601|65|103|06|04|20|469945
201601|65|103|06|05|14|1202604
